DATE,RACE,CLASS,RACE NAME,DIST,SURF,STARTER NAME,PP,ODDS,FAVE,FIN,TRAINER,JOCKEY,TIME,PREV RACE,DAYS,SIRE
7/21/2018,6,MSW,,5.5,Dirt,Fed Fever,6,6.3,0,8,George Weaver,Jose Ortiz,01:05.2,,,Fed Biz
7/21/2018,6,MSW,,5.5,Dirt,Market King,4,38.5,0,9,D. Lukas,Dylan Davis,01:07.8,CD 6/23 5,28,Into Mischief
7/21/2018,6,MSW,,5.5,Dirt,Majestic Hero,7,32,0,10,William Mott,John Velazquez,01:08.2,,,Majestic Warrior
7/21/2018,9,GRD,Sanford S.,6,Dirt,Sombeyay,1,2.85,1,1,Todd Pletcher,Javier Castellano,01:10.4,BEL 6/8 5,43,Into Mischief
7/21/2018,9,GRD,Sanford S.,6,Dirt,Strike Silver,7,3.45,0,2,Mark Casse,Julien Leparoux,01:10.4,CD 6/14 6,37,Violence
7/21/2018,9,GRD,Sanford S.,6,Dirt,Whiskey Echo,4,7.3,0,3,Steven Asmussen,"Irad Ortiz, Jr.",01:10.9,BEL 6/10 1,41,Tiznow
7/21/2018,9,GRD,Sanford S.,6,Dirt,Bano Solo,6,3.85,0,4,Steven Asmussen,"Ricardo Santana, Jr.",01:11.0,CD 6/23 5,28,Goldencents
7/21/2018,9,GRD,Sanford S.,6,Dirt,Knicks Go,3,17,0,5,Ben Colebrook,Luis Saez,01:11.8,ELP 7/4 5,17,Paynter
7/21/2018,9,GRD,Sanford S.,6,Dirt,Lexitonian,2,3.05,0,6,Todd Pletcher,John Velazquez,01:12.1,BEL 6/27 6,24,Speightstown
7/21/2018,9,GRD,Sanford S.,6,Dirt,Chase Greatness,5,10.8,0,7,Horacio DePaz,Jose Ortiz,01:12.9,CD 6/21 5,30,More Than Ready
7/22/2018,2,MSW-F,,8.5,Turf,Chocolate Kisses,5,1.1,1,1,Mark Casse,"Irad Ortiz, Jr.",01:44.3,CD 6/22 6,30,Candy Ride (ARG)
7/22/2018,2,MSW-F,,8.5,Turf,Aunt Ashley,6,5.8,0,2,H. Motion,Javier Castellano,01:44.4,,,Uncle Mo
7/22/2018,2,MSW-F,,8.5,Turf,Toy Moon,2,1.1,1,3,Mark Casse,Julien Leparoux,01:44.7,CD 6/8 4,44,Malibu Moon
7/22/2018,2,MSW-F,,8.5,Turf,Seventh Planet,8,31.5,0,4,Ralph Nicks,Eric Cancel,01:44.9,,,Orb
7/22/2018,2,MSW-F,,8.5,Turf,Sippican Harbor,1,5.9,0,5,Gary Contessa,Joel Rosario,01:44.9,,,Orb
7/22/2018,2,MSW-F,,8.5,Turf,Ghostly Beauty,4,5.1,0,6,George Weaver,Manuel Franco,01:45.0,,,Noble Mission (GB)
7/22/2018,2,MSW-F,,8.5,Turf,Two Dozen Roses,3,8.2,0,7,Todd Pletcher,John Velazquez,01:45.2,,,Super Saver
7/22/2018,2,MSW-F,,8.5,Turf,Glaze,9,17.1,0,8,William Mott,Junior Alvarado,01:45.3,BEL 7/4 1,18,Flatter
7/22/2018,2,MSW-F,,8.5,Turf,Sweet Carolina,7,12,0,9,Rodolphe Brisset,Florent Geroux,01:46.1,,,Candy Ride (ARG)
7/23/2018,4,MSW-NY,,5.5,Dirt,Dugout,2,3.7,0,1,Larry Rivelli,Javier Castellano,01:04.9,,,Adios Charlie
7/23/2018,4,MSW-NY,,5.5,Dirt,Woodbury,9,4.6,0,2,Rudy Rodriguez,Tyler Gaffalione,01:06.0,,,Power Broker
7/23/2018,4,MSW-NY,,5.5,Dirt,Pipes,3,9.8,0,3,Gary Contessa,Joel Rosario,01:06.2,,,Exchange Rate
7/23/2018,4,MSW-NY,,5.5,Dirt,Early Retirement,4,18.4,0,4,David Donk,Manuel Franco,01:06.4,,,Freud
7/23/2018,4,MSW-NY,,5.5,Dirt,Bourbon Mission,8,1.55,1,5,Todd Pletcher,John Velazquez,01:06.7,,,Mission Impazible
7/23/2018,4,MSW-NY,,5.5,Dirt,Bozzini,1,8,0,6,Jeremiah Englehart,"Irad Ortiz, Jr.",01:06.8,BEL 6/22 1,31,Desert Party
7/23/2018,4,MSW-NY,,5.5,Dirt,Somelikeithotbrown,7,9.7,0,7,Michael Maker,Jose Ortiz,01:07.0,,,Big Brown
7/23/2018,4,MSW-NY,,5.5,Dirt,Magical Tale,5,25.5,0,8,James Ryerson,Junior Alvarado,01:07.7,,,Forty Tales
7/23/2018,4,MSW-NY,,5.5,Dirt,Semper Paratus,6,30.75,0,9,Michelle Nevin,Luis Saez,01:08.4,BEL 6/22 1,31,Flatter
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Collegeville Girl,4,9.4,0,1,Richard Vega,Kendrick Carmouche,01:05.2,,,Central Banker
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Elegant Zip,9,8.8,0,2,David Donk,Manuel Franco,01:05.5,,,Run Away and Hide
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Chillinwithfriends,8,2.75,1,3,Rudy Rodriguez,"Irad Ortiz, Jr.",01:05.8,,,Friend Or Foe
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Evan's Nice Now,1,3.2,0,4,Jeremiah Englehart,Luis Saez,01:06.3,,,Trappe Shot
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Bull Feathers,3,13.6,0,5,Philip Gleaves,Rajiv Maragh,01:08.4,,,With Distinction
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Damselfly,6,8.6,0,6,Michelle Nevin,Jose Ortiz,01:08.6,BEL 6/14 1,41,Bustin Stones
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Ruvies in Time,7,21.8,0,7,Richard Schosberg,Jose Lezcano,01:08.7,,,The Factor
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Time Warp,5,4.8,0,8,Kenneth McPeek,Dylan Davis,01:08.8,,,Cairo Prince
7/25/2018,5,MSW-NY-F,,5.5,Dirt,Empress Sophia,2,8.7,0,9,D. Lukas,"Ricardo Santana, Jr.",01:09.0,,,Bodemeister
7/26/2018,10,MSW-F,,5.5,Dirt,Super Simple,2,7,0,1,Steven Asmussen,"Ricardo Santana, Jr.",01:04.9,CD 6/22 1,34,Super Saver
7/26/2018,10,MSW-F,,5.5,Dirt,Guacamole,8,2.15,1,2,Todd Pletcher,John Velazquez,01:05.0,,,Flat Out
7/26/2018,10,MSW-F,,5.5,Dirt,Quiet Company,1,5.1,0,3,Horacio DePaz,Joe Bravo,01:05.1,,,Temple City
7/26/2018,10,MSW-F,,5.5,Dirt,Liora,7,2.9,0,4,Wayne Catalano,Florent Geroux,01:05.2,,,Candy Ride (ARG)
7/26/2018,10,MSW-F,,5.5,Dirt,Devious Charm,6,12.4,0,5,Mark Casse,Jose Ortiz,01:05.8,CD 5/18 5,69,Into Mischief
7/26/2018,10,MSW-F,,5.5,Dirt,Paradise Retained,3,4.2,0,6,Jason Servis,"Irad Ortiz, Jr.",01:06.0,,,Speightstown
7/26/2018,10,MSW-F,,5.5,Dirt,Isabelle's Joy,4,21.4,0,7,Philip Gleaves,Rajiv Maragh,01:06.0,,,Kitten's Joy
7/26/2018,10,MSW-F,,5.5,Dirt,Lido Key,5,34.5,0,8,Gary Contessa,Jose Lezcano,01:07.0,,,Lemon Drop Kid
7/27/2018,1,MSW-NY,,5.5,Dirt,Bankit,4,0.3,1,1,Steven Asmussen,"Ricardo Santana, Jr.",01:04.3,BEL 6/27 6,30,Central Banker
7/27/2018,1,MSW-NY,,5.5,Dirt,The Grand Canal,1,10.2,0,2,Linda Rice,Jose Ortiz,01:05.4,,,Bullet Train (GB)
7/27/2018,1,MSW-NY,,5.5,Dirt,Bret's Legacy,3,19.3,0,3,Michelle Nevin,Manuel Franco,01:05.6,,,Boys at Tosconova
7/27/2018,1,MSW-NY,,5.5,Dirt,Frosted Ice,2,7.4,0,4,Ron Moquett,Luis Saez,01:05.9,,,Bellamy Road
7/27/2018,1,MSW-NY,,5.5,Dirt,Center City,5,27,0,5,Russell Cash,Abel Lezcano,01:06.2,BEL 7/12 4,15,Heavy Breathing
7/27/2018,1,MSW-NY,,5.5,Dirt,Lumberer,7,24.5,0,6,Chris Englehart,Jose Lezcano,01:06.8,BEL 6/22 1,35,The Lumber Guy
7/27/2018,1,MSW-NY,,5.5,Dirt,Coach Villa,6,9.3,0,7,Nicholas Zito,Joe Bravo,01:07.7,,,Big Brown
7/28/2018,1,MSW,,5.5,Dirt,Carter Cat,9,1.95,1,1,Steven Asmussen,"Ricardo Santana, Jr.",01:05.3,CD 6/21 5,37,Tale of the Cat
7/28/2018,1,MSW,,5.5,Dirt,Bucktail Spinner,4,10.8,0,2,D. Lukas,Dylan Davis,01:05.7,CD 6/30 2,28,Oxbow
7/28/2018,1,MSW,,5.5,Dirt,He's the Souperwon,1,11.3,0,3,Mark Casse,Jose Ortiz,01:05.7,,,Super Saver
7/28/2018,1,MSW,,5.5,Dirt,Halladay,5,9,0,3,Todd Pletcher,John Velazquez,01:05.7,,,War Front
7/28/2018,1,MSW,,5.5,Dirt,Stroll Daddy,2,10,0,5,Joe Sharp,Luis Saez,01:05.7,,,Stroll
7/28/2018,1,MSW,,5.5,Dirt,Party With Friends,6,3.4,0,6,Chad Brown,Javier Castellano,01:06.6,,,Speightstown
7/28/2018,1,MSW,,5.5,Dirt,My America,3,25.25,0,7,"George Arnold, II",Jose Lezcano,01:06.9,,,Medaglia d'Oro
